SMILES,Y_Label
CC(=O)NC(C1CC(CC1NC(N)=N)C(O)=O)C(=O)N1CCCCC1,1
CCCC1CCCCN1C(=O)C(NC(C)=O)C1CC(CC1NC(N)=N)C(O)=O,1
CCCCCCOC1C=C(CC(N)C1NC(C)=O)C(O)=O,1
CCC1CCCCN1C(=O)C(NC(C)=O)C1CC(CC1NC(N)=N)C(O)=O,1
CCCCCCCCOC1C=C(CC(N)C1NC(C)=O)C(O)=O,1
CCCCN(C)C1C=C(CC(N)C1NC(C)=O)C(O)=O,1
CN(C1CCCCC1)C1C=C(CC(N)C1NC(C)=O)C(O)=O,1
CC(C)COC1C=C(CC(N)C1NC(C)=O)C(O)=O,1
CCCCCOC1C=C(CC(N)C1NC(C)=O)C(O)=O,1
CCCN(CC1CC1)C(=O)C(NC(C)=O)C1CC(CC1NC(N)=N)C(O)=O,1
CCCNC1C=C(CC(N)C1NC(C)=O)C(O)=O,1
CCCCCCCCCOC1C=C(CC(N)C1NC(C)=O)C(O)=O,1
CCCSC1C=C(CC(N)C1NC(C)=O)C(O)=O,1
CCCCC1C=C(CC(N)C1NC(C)=O)C(O)=O,1
CC(=O)NC(C1CC(CC1NC(N)=N)C(O)=O)C(=O)N1CCSCC1,1
CC(CCC1=CC=CC=C1)NC(=O)C(NC(C)=O)C1CC(CC1NC(N)=N)C(O)=O,1
CC1CCCCN1C(=O)C(NC(C)=O)C1CC(CC1NC(N)=N)C(O)=O,1
CC(=O)NC1C(N)CC(=CC1N1CCOCC1)C(O)=O,1
CCC1(CC)CN(C1)C1C=C(CC(N)C1NC(C)=O)C(O)=O,1
CCCCCCCOC1C=C(CC(N)C1NC(C)=O)C(O)=O,1
CCCN(CCC1=CC=C(CC2=CC=CC=C2)C=C1)C(=O)C1OC(=CC(N)C1NC(C)=O)C(O)=O,1
CCC1CCC(CC)N1C(=O)C1OC(=CC(N)C1NC(C)=O)C(O)=O,1
CCCCOC1C=C(CC(N)C1NC(C)=O)C(O)=O,1
CC(=O)NC1C(N)CC(=CC1N1CCCC1)C(O)=O,1
CC1CCCN1C(=O)C1OC(=CC(N)C1NC(C)=O)C(O)=O,1
CCNC(=O)C(NC(C)=O)C1CC(CC1NC(N)=N)C(O)=O,1
CCC(C)NC(=O)C(NC(C)=O)C1CC(CC1NC(N)=N)C(O)=O,1
CCCCN(CC)C(=O)C(NC(C)=O)C1CC(CC1NC(N)=N)C(O)=O,1
CC(=O)NC(C1CC(CC1NC(N)=N)C(O)=O)C(=O)N1CCCC1,1
CCCCCCCCCCOC1C=C(CC(N)C1NC(C)=O)C(O)=O,1
CC(=O)NC1C(N)CC(=CC1OCC1=CC=CC=C1)C(O)=O,1
CN(CC=C)C(=O)C(NC(C)=O)C1CC(CC1NC(N)=N)C(O)=O,1
CCN(CC1=CC=CC=C1)C(=O)C(NC(C)=O)C1CC(CC1NC(N)=N)C(O)=O,1
CCN(CCO)C(=O)C(NC(C)=O)C1CC(CC1NC(N)=N)C(O)=O,1
CC(=O)NC(C1CC(CC1NC(N)=N)C(O)=O)C(=O)NCC=C,1
CC(=O)NC(C1CC(CC1NC(N)=N)C(O)=O)C(=O)N1CCC1,1
CCCN(C)C(=O)C(NC(C)=O)C1CC(CC1NC(N)=N)C(O)=O,1
CC(=O)NC(C1CC(CC1NC(N)=N)C(O)=O)C(=O)N1CCCCCC1,1
CCCCCCN(C)C(=O)C(NC(C)=O)C1CC(CC1NC(N)=N)C(O)=O,0
CCC(CC)OC1=CC(=CC=C1NC(C)=O)C(O)=O,0
CC(=O)NC1C(N)C=C(OC1C(=O)NC1CCCCC1)C(O)=O,0
CC(=O)NC1C(N)C=C(OC1C(=O)N(CCC1=CC=CC=C1)CC(N)=O)C(O)=O,0
CC(=O)NC1C(NC(N)=N)C=C(OC1C(=O)NCCN)C(O)=O,0
CCC(CC)NC1=CC(=CC=C1NC(C)=O)C(O)=O,0
CCC(CC)C(=O)NC1=CC(=CC=C1NC(C)=O)C(O)=O,0
CC(=O)NC1C(N)C=C(OC1C(=O)N(CCN)CCC1=CC=CC=C1)C(O)=O,0
CC(=O)NC1=CN=C(C=C1N)C(O)=O,0
CS(=O)(=O)NC1=C(C=NO)C=C(C=C1NC(N)=N)C(O)=O,0
CC(=O)NC1=C(C=C(C=C1NC(N)=N)C(O)=O)C(O)C(O)CO,0
CS(=O)(=O)NC1=CC=C(C=C1NC(N)=N)C(O)=O,0
CC(=O)NC1C(N)C=C(OC1C(=O)N(CCC1=CC=CC=C1)CC(O)=O)C(O)=O,0
CS(=O)CC1=CC=C(C=C1NC(N)=N)C(O)=O,0
CCCC(CCC)OC1=CC(=CC=C1NC(C)=O)C(O)=O,0
CS(=O)(=O)CC1=CC=C(C=C1NC(N)=N)C(O)=O,0
CN(C)CCN(CCC1=CC=CC=C1)C(=O)C1OC(=CC(N)C1NC(C)=O)C(O)=O,0
CC(=O)NC1C(N)C=C(OC1C(=O)NCCN)C(O)=O,0
CC(=O)NC1=C(CCO)C=C(C=C1NC(N)=N)C(O)=O,0
CC(=S)NC1=CN=C(C=C1)C(O)=O,0
CC(=O)NC1C(N)C=C(OC1C(=O)NCCO)C(O)=O,0
CC(=O)NC1C(N)C=C(OC1C(=O)NCC(O)=O)C(O)=O,0
NC(=N)NC1=CC(=CC(C=NO)=C1)C(O)=O,0
CC(C)C(=O)NC1=CC=C(C=C1NC(N)=N)C(O)=O,0
CS(=O)(=O)NC1=C(N)N=C(C=C1N)C(O)=O,0
OC(=O)C1=CC=C(NC(=O)C2=CC=CC=C2)C=C1,0
NC(=N)NC1=CC(=CC(NC(N)=N)=C1)C(O)=O,0
CS(=O)(=O)NC1=CC=C(C=C1C=NO)C(O)=O,0
NC(=N)NC1=CC(N)=CC(=C1)C(O)=O,0
CS(=O)(=O)NC1=C(CO)C=C(C=C1NC(N)=N)C(O)=O,0
CC(=O)NC1=CN=C(C=C1)C(O)=O,0
CC(=O)NC1=CC=C(C=C1CC[N+]([O-])=O)C(O)=O,0
NS(=O)(=O)C1=CC=C(C=C1)C(O)=O,0
CS(=O)(=O)NC1=CN=C(C=C1)C(O)=O,0
CC(=O)NC1=C(N)N=C(C=C1)C(O)=O,0
OC(=O)C1=CC=CC(NC#N)=C1,0
NC(=N)NC1=CC(=CC=C1)C(O)=O,0
CC(=O)NC1=CC=C(C=C1C=NO)C(O)=O,0
CC(=O)NC1=CC=C(C=C1N)C(O)=O,0
CC(=O)NC1=CC=C(C=C1O)C(O)=O,0
