DRUGBANK_ID,SMILES,MW,RBN,nCIC,nHAcc,nHDon,ALogP,TPSA
DB06209,CC(=O)OC1=CC2=C(CCN(C2)C(C(=O)C2CC2)C2=CC=CC=C2F)S1,373.441,6,4,3,0,3.67,46.61
DB06212,CC1=CC=CC=C1C(=O)NC1=CC(C)=C(C=C1)C(=O)N1CCC[C@@H](O)C2=C1C=CC(Cl)=C2,448.941,3,4,3,2,4.14,69.64
DB06216,OC(=O)\C=C/C(O)=O.CN1CC2C(C1)C1=C(OC3=CC=CC=C23)C=CC(Cl)=C1,401.84,2,4,1,0,,12.47
DB06217,COC1=C(OC)C=C(CCO[C@@H]2CCCC[C@H]2N2CC[C@@H](O)C2)C=C1,349.471,7,3,5,1,2.74,51.16
DB06218,COC[C@@H](NC(C)=O)C(=O)NCC1=CC=CC=C1,250.294,6,1,3,2,0.18,67.43
DB06228,[H][C@]1(CNC(=O)C2=CC=C(Cl)S2)CN(C(=O)O1)C1=CC=C(C=C1)N1CCOCC1=O,435.881,5,4,5,1,1.74,88.18
DB06230,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(CC3CC3)[C@]([H])(C4)[C@]1(O)CCC2=C,339.435,2,6,4,2,2.24,52.93
DB06261,[H]N([H])CC(=O)CCC(=O)OCCCCCC,215.293,10,0,3,1,1.55,69.39
DB06268,CC1=NOC(NS(=O)(=O)C2=C(SC=C2)C(=O)CC2=CC3=C(OCO3)C=C2C)=C1Cl,454.905,5,4,6,1,3.35,107.73
DB06274,C[C@H]1CN(C[C@H](CC2=CC=CC=C2)C(=O)NCC(O)=O)CC[C@@]1(C)C1=CC(O)=CC=C1,424.533,8,3,5,3,3.25,89.87
DB06282,OC(=O)COCCN1CCN(CC1)[C@H](C1=CC=CC=C1)C1=CC=C(Cl)C=C1,388.89,8,3,5,1,2.98,53.01
DB06288,CCN1CCCC1CNC(=O)C1=CC(=C(N)C=C1OC)S(=O)(=O)CC,369.479,7,2,6,2,1.5,101.73
DB06292,CCOC1=CC=C(CC2=C(Cl)C=CC(=C2)[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C=C1,408.873,6,3,6,4,2.52,99.38
DB06335,N[C@H](C(=O)N1[C@H]2C[C@H]2C[C@H]1C#N)C12CC3CC(CC(O)(C3)C1)C2,315.41,2,5,4,2,0.88,90.35
DB06403,COC([C@H](OC1=NC(C)=CC(C)=N1)C(O)=O)(C1=CC=CC=C1)C1=CC=CC=C1,378.428,7,3,6,1,3.9,81.54
DB06412,[H][C@@]12CC[C@](C)(O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])CC(=O)\C(C[C@]12C)=C/O,332.484,0,4,3,2,3.17,57.53
DB06413,NC(=O)C[S@@](=O)C(C1=CC=CC=C1)C1=CC=CC=C1,273.35,5,2,2,1,1.75,60.16
DB06414,CC1=CC(=CC(C)=C1OC1=C(Br)C(N)=NC(NC2=CC=C(C=C2)C#N)=N1)C#N,435.277,4,3,6,2,3.67,120.64
DB06480,COCCCN1CCC(CC1)NC(=O)C1=C2OCCC2=C(N)C(Cl)=C1,367.87,6,3,5,2,2.09,76.82
DB06594,COC1=CC2=C(C=CC=C2CCNC(C)=O)C=C1,243.301,4,2,2,1,2.83,38.33
DB06603,[H]\C(=C(\[H])C1=CC=C(CNCCC2=C(C)NC3=CC=CC=C23)C=C1)C(O)=NO,349.434,7,3,4,4,3.28,80.64
DB06605,COC1=CC=C(C=C1)N1N=C(C(N)=O)C2=C1C(=O)N(CC2)C1=CC=C(C=C1)N1CCCCC1=O,459.497,5,5,5,1,2.22,110.76
DB06608,COC1=CC(C)=C2C(OC3=CC=CC(=C3)C(F)(F)F)=C(OC)C=C(NC(C)CCCN)C2=N1,463.501,10,3,5,2,5.07,78.63
DB06626,CNC(=O)C1=C(SC2=CC=C3C(NN=C3\C=C\C3=CC=CC=N3)=C2)C=CC=C1,386.47,5,4,3,2,4.17,70.67
DB06654,C[C@H](NCC1=CC=C(OCC2=CC(F)=CC=C2)C=C1)C(N)=O,302.349,7,2,3,2,2.59,64.35
DB06684,NC(=O)C1=CC2=CC(=CC=C2O1)N1CCN(CCCCC2=CNC3=C2C=C(C=C3)C#N)CC1,441.525,7,5,4,2,4.21,102.29
DB06691,COC1=CC=C(CN(CCN(C)C)C2=NC=CC=C2)C=C1,285.384,7,2,4,0,2.89,28.6
DB06694,CC1=CC(=CC(C)=C1CC1=NCCN1)C(C)(C)C,244.375,3,2,2,1,4.68,24.39
