DRUGBANK_ID,MW,RBN,nCIC,nHAcc,nHDon,ALogP,TPSA,SMILES
DB01030,421.446,3,5,6,2,1.84,103.2,
DB01031,167.205,2,1,1,1,1.09,52.32,
DB01032,285.359,6,1,4,1,1.52,74.68,
DB01035,235.325,6,1,3,2,1.42,58.36,
DB01036,325.488,7,2,2,1,5.39,23.47,
DB01037,187.286,4,1,1,0,3.08,3.24,
DB01039,360.831,7,2,3,0,4.86,52.6,
DB01041,258.229,1,3,4,1,0.42,83.55,
DB01042,305.2,8,1,4,2,-0.22,66.56,
DB01043,179.302,0,3,1,1,3.31,26.02,
DB01046,390.468,11,2,5,2,2.76,83.83,
DB01048,286.332,4,4,6,3,0.61,101.88,
DB01050,206.281,4,1,2,1,3.5,37.3,
DB01053,334.39,4,3,4,2,1.92,86.71,
DB01054,360.361,7,2,5,1,3.21,110.45,
DB01056,192.257,2,1,2,2,0.55,55.12,
DB01058,312.406,1,4,2,0,2.42,40.62,
DB01061,461.492,5,4,6,4,0.2,148.15,
DB01062,357.486,10,2,3,1,4.36,49.77,
DB01063,411.56,7,4,5,1,3.48,47.02,
DB01064,211.258,4,1,4,4,-0.27,72.72,
DB01065,232.278,4,2,2,2,1.42,54.12,
DB01067,445.535,6,3,6,3,1.83,130.15,
DB01068,315.711,2,3,4,1,2.76,87.28,
DB01069,284.419,3,3,2,0,4.52,6.48,
DB01074,277.488,4,3,1,1,5.87,12.03,
DB01075,255.355,6,2,2,0,3.44,12.47,
DB01079,301.394,7,2,5,4,2.76,85.29,
DB01084,302.414,5,3,4,0,2.91,33.53,
DB01085,208.257,3,2,2,0,1.15,44.12,
DB01086,165.189,3,1,2,1,2.2,52.32,
DB01087,259.347,6,2,4,2,2.76,60.17,
DB01088,360.494,9,2,4,3,4.22,77.76,
DB01095,411.466,8,3,4,3,3.69,82.69,
DB01096,279.335,5,2,5,3,1.54,90.11,
DB01097,270.207,3,2,2,1,2.52,55.13,
