SMILES,MW,RBN,nCIC,nHAcc,nHDon,ALogP,TPSA,RESULT
OC1=CC(O)=C2C(=O)C=C(OC2=C1CN1CCCC1)C1=CC=CC=C1,337.4,3,4,5,2,3.136,73.91,Inactive
CNC(=O)C1OC(=CC(N)C1NC(C)=O)C(O)=O,257.28,3,1,8,5,-2.639,130.75,Inactive
CC(=O)NC1C(NCCCN)C=C(OC1C(O)C(O)CO)C(O)=O,347.42,9,1,10,8,-3.807,174.37,Inactive
CC(=O)NC1C(NCCCCN)C=C(OC1C(O)C(O)CO)C(O)=O,361.45,10,1,10,8,-3.227,174.37,Inactive
CC(=O)NC1C(NC2=NCCN2)C=C(OC1C(O)C(O)CO)C(O)=O,358.4,7,2,11,7,-2.987,172.74,Inactive
CC(=O)NC1C(NC(=N)NCCCN)C=C(OC1C(O)C(O)CO)C(O)=O,389.47,11,1,12,10,-3.778,210.25,Inactive
CC(=O)NC1C(NC(=N)NCCCCN)C=C(OC1C(O)C(O)CO)C(O)=O,403.5,12,1,12,10,-3.198,210.25,Inactive
CC(=O)NC1C(OC(=CC1N(CCCN)C(N)=N)C(O)=O)C(O)C(O)CO,389.47,10,1,12,10,-3.674,215.45,Inactive
CC(=O)NC1C(OC(=CC1N(CCCCN)C(N)=N)C(O)=O)C(O)C(O)CO,403.5,11,1,12,10,-3.094,215.45,Inactive
CCC(CC)NC1=C(C=CC(=C1)C(O)=O)N1CCCC1=O,290.4,6,2,5,2,2.599,69.64,Inactive
NC(=N)NC1=CC(=CC=C1N1CCCC1=O)C(O)=O,262.3,4,2,7,5,0.422,119.51,Inactive
OC1CCCN(CC2=C3OC(=CC(=O)C3=C(O)C=C2O)C2=CC=CC=C2)C1,367.43,3,4,6,3,2.626,94.14,Inactive
OCCN1CCN(CC2=C3OC(=CC(=O)C3=C(O)C(O)=C2O)C2=CC=CC=C2)CC1,412.48,5,4,8,4,1.826,117.61,Inactive
OC1CCN(CC2=C3OC(=CC(=O)C3=C(O)C=C2O)C2=CC=CC=C2)CC1,367.43,3,4,6,3,2.108,94.14,Inactive
CN1CCN(CC2=C3OC(=CC(=O)C3=C(O)C(O)=C2O)C2=CC=CC=C2)CC1,382.45,3,4,7,3,2.365,97.38,Inactive
CN1CCN(CC2=C3OC(=CC(=O)C3=C(O)C=C2O)C2=CC=CC=C2)CC1,366.45,3,4,6,2,2.633,77.15,Inactive
OC1=CC(O)=C2C(=O)C=C(OC2=C1CN1CCOCC1)C1=CC=CC=C1,353.4,3,4,6,2,2.363,83.14,Inactive
OCC1CCN(CC2=C3OC(=CC(=O)C3=C(O)C(O)=C2O)C2=CC=CC=C2)CC1,397.46,4,4,7,4,2.419,114.37,Inactive
CC1COCC(C)N1CC1=C2OC(=CC(=O)C2=C(O)C(O)=C1O)C1=CC=CC=C1,397.46,3,4,7,3,2.851,103.37,Inactive
OCC1(CO)CCC(=O)N1C1=CC=C(C=C1)C(O)=O,265.29,4,2,6,3,-0.178,98.07,Inactive
NCC1CCC(=O)N1C1=C(C=C(C=C1)C(O)=O)N=C(N)N,291.35,4,2,8,7,-0.882,148.03,Inactive
NC(=N)NC1CCC(O)(C1)C(O)=O,187.23,3,1,6,6,-1.051,119.43,Inactive
NC1CCC(O)(C1)C(O)=O,145.18,1,1,4,4,-1.081,83.55,Inactive
CCC(CCC1=CC=CC=C1)OC1C=C(CC(N)C1NC(C)=O)C(O)=O,360.5,8,2,6,4,1.934,101.65,Active
