ID,MW,RBN,nCIC,nHDon,nHAcc,ALogP,TPSA,Qm,Energy,Dipole,HOMO,LUMO,GAP,IC50 (nM),pIC50,Y-Label
171,453.66,15,1,6,10,2.079,157.84,0.152555157,-0.32450875,6.4657,-0.35341,-0.01313,0.34028,7,8.15490196,1
172,325.46,4,2,5,7,-0.196,115.89,0.150763408,-0.290403974,6.5738,-0.33807,-0.00924,0.32883,8,8.096910013,1
173,419.53,9,2,4,9,0.328,131.19,0.154977328,-0.327271205,1.9816,-0.32609,-0.01171,0.31438,8,8.096910013,1
174,389.5,7,2,4,8,0.198,121.96,0.15866863,-0.254781166,4.0703,-0.34123,-0.01574,0.32549,8,8.096910013,1
175,416.49,9,2,4,10,-1.63,170.72,0.162788491,-0.118475912,1.6495,-0.34408,-0.01909,0.32499,9,8.045757491,1
176,270.37,5,1,4,6,-0.078,101.65,0.161147175,-0.29019407,4.811,-0.34865,-0.01607,0.33258,9,8.045757491,1
177,419.53,9,2,4,9,0.328,131.19,0.155335,-0.327540935,1.7209,-0.33122,-0.01023,0.32099,9,8.045757491,1
178,405.5,8,2,5,9,0.077,142.19,0.162323,-0.337364817,2.186,-0.32948,-0.01228,0.3172,9,8.045757491,1
179,297.45,7,1,4,6,0.687,95.66,0.144950702,-0.206172825,2.5446,-0.33836,-0.01631,0.32205,12,7.920818754,1
180,391.47,8,2,5,9,-1.067,142.19,0.161986058,-0.322953314,2.1508,-0.34716,-0.02175,0.32541,12,7.920818754,1
181,431.59,9,2,4,8,1.539,121.96,0.148674635,-0.294517618,2.2297,-0.33772,-0.01194,0.32578,12,7.920818754,1
182,341.47,8,1,6,9,-1.021,148.61,0.17300754,-0.247317896,5.1821,-0.34179,0.03413,0.37592,15,7.823908741,1
183,352.53,7,2,4,6,2.151,101.65,0.143372589,-0.331355887,6.1498,-0.35152,-0.0166,0.33492,16,7.795880017,1
184,403.53,9,2,4,8,0.801,121.96,0.155485842,-0.277887143,2.2219,-0.34367,-0.01384,0.32983,18,7.744727495,1
185,281.4,3,2,4,6,-0.141,95.66,0.147305357,-0.18991145,2.8647,-0.34461,-0.01902,0.32559,25,7.602059991,1
186,309.46,3,2,4,6,0.771,95.66,0.144953875,-0.208564252,3.6611,-0.33895,-0.01537,0.32358,26,7.585026652,1
187,300.4,7,1,5,7,-0.904,121.88,0.156779614,-0.365289884,4.9244,-0.36366,-0.01394,0.34972,30,7.522878745,1
188,307.44,3,3,4,6,0.377,95.66,0.148125957,-0.176815956,3.8615,-0.34623,-0.01508,0.33115,32,7.494850022,1
189,295.43,3,2,4,6,0.315,95.66,0.145786978,-0.200802655,7.498,-0.34146,-0.00873,0.33273,35,7.455931956,1
190,323.39,7,1,4,8,-1.199,121.96,0.172417884,-0.208998115,4.4378,-0.36304,-0.01492,0.34812,40,7.397940009,1
191,355.45,6,2,6,10,-2.031,157.84,0.174094041,-0.305230731,3.1309,-0.35672,0.02478,0.3815,40,7.397940009,1
192,323.49,5,2,4,6,1.023,95.66,0.144371549,-0.226532846,2.5182,-0.32887,-0.01366,0.31521,40,7.397940009,1
193,387.48,7,3,4,8,-0.038,121.96,0.162248269,-0.192181399,3.1214,-0.3471,-0.01768,0.32942,46,7.337242168,1
194,295.43,3,2,4,6,0.111,95.66,0.147580578,-0.207324729,4.0157,-0.3469,-0.01666,0.33024,51,7.292429824,1
195,309.46,4,2,4,6,0.567,95.66,0.141163,-0.210352563,3.9028,-0.35357,-0.01684,0.33673,52,7.283996656,1
196,369.53,10,1,6,9,0.027,148.61,0.163852125,-0.264340962,7.2322,-0.36558,0.02771,0.39329,60,7.22184875,1
197,269.39,5,1,4,6,-0.186,95.66,0.15027578,-0.186974346,2.5138,-0.35288,-0.018,0.33488,65,7.187086643,1
198,323.49,3,2,4,6,1.228,95.66,0.138854471,-0.206405911,1.4891,-0.33568,-0.01352,0.32216,75,7.124938737,1
199,355.5,9,1,7,9,-0.151,157.4,0.172681396,-0.272555485,4.7116,-0.37326,0.03043,0.40369,80,7.096910013,1
200,297.45,7,1,4,6,0.619,95.66,0.146764021,-0.220716937,5.3249,-0.34719,-0.00982,0.33737,85,7.070581074,1
201,408.54,8,3,4,6,2.551,101.65,0.142290596,-0.193883669,7.3469,-0.33247,-0.01177,0.3207,90,7.045757491,1
